ldref	pop	addpop	prefix	r2	r2_2.5	r2_97.5	r2_pval	r2_se
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin1.S10	0.000295011777317722	-9.52165584082898e-05	0.00143343712276936	0.0468792962444093	0.000416379381601607
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin1.S3	0.000367518791225652	-8.31706863644088e-05	0.00149323486011987	0.0306074742572748	0.000422574462630045
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin1.S4	0.000331283688857487	-8.964386513447e-05	0.00157639629496651	0.0378342707168529	0.000455130783786893
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin1.S5	0.000193884649195231	-9.64859539770491e-05	0.00129428749810472	0.0864937109605019	0.000376623667586349
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin1.S6	8.1150828641352e-06	-9.95069073073229e-05	0.000830267105264243	0.298467060510347	0.000248097460060289
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin1.S7	9.37446839777145e-06	-9.96206230396424e-05	0.000746253341600073	0.29567015370601	0.000245797722093414
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin10.S1	0.00507660299811696	0.00272806912502592	0.00837164407783522	5.89231079653031e-13	0.00139273843445602
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin10.S10	0.000705970044128645	-3.14078236114235e-05	0.0021623108248978	0.00452449906470051	0.00057203466576523
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin10.S2	0.00511429470730129	0.00272301600357836	0.008494216072794	4.85866106331736e-13	0.00142835153367262
AFR	AFR	AFR	AFR_caus100-rep1-h2_0.01-S1_-1-AFR_Bin1toBin10.S3	0.00374574159233165	0.00160694814282726	0.00642479391881294	5.42437020229536e-10	0.0012615225863732
