ldref	pop	addpop	prefix	r2	r2_2.5	r2_97.5	r2_pval	r2_se
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S6	0.0137368203252697	0.00963379184858859	0.0182459926378052	3.81420137115225e-32	0.00219827457950978
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin12.S7	0.0120973093775302	0.00830263751194814	0.0161951711335539	1.63833900191068e-28	0.00208922775604899
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S1	0.0244089823379876	0.018760337376527	0.030472887567924	6.88939206106497e-56	0.0030046954517818
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S10	0.0110131184977664	0.00750051406562407	0.0152789055687418	4.12687293207503e-26	0.00204166912306018
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S2	0.0248911884453706	0.0192202202037236	0.0310857301157226	5.76285508779004e-57	0.00304040339079254
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S3	0.0215903745936582	0.0164001764570444	0.0270170596766089	1.34229786798575e-49	0.00275952366361261
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S4	0.0204555690229077	0.0151046254178584	0.0260398729537343	4.5292125692907e-47	0.00284330530312114
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S5	0.0158673735586797	0.0114345018575493	0.0209270304034684	7.17299563756115e-37	0.00246538990384866
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S6	0.0138865147400128	0.0097389511497967	0.0186472263132577	1.77646089478024e-32	0.002236899379041
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin13.S7	0.0116543998512662	0.0078904938960207	0.0162563494857545	1.56832774087665e-27	0.00209920128248873
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin14.S1	0.0252644941847944	0.0197101193526072	0.0313713479848113	8.43596425813979e-58	0.00299412491396618
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin14.S10	0.0110409800471508	0.00735064438262516	0.0151987382372713	3.58033617140195e-26	0.00200927450236446
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin14.S2	0.0234868944728208	0.0182978577584124	0.0297692719697767	7.89669996860794e-54	0.00288457328011728
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin14.S3	0.0225953999702219	0.017404768721562	0.0285547768577328	7.70649854848419e-52	0.00288055636297511
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin14.S4	0.0213796904296244	0.0159880123480712	0.0268728978331469	3.95726979148404e-49	0.00275441452052459
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin14.S5	0.0166699280719012	0.0122463714442583	0.0217486563742816	1.18573249755401e-38	0.00251867685010727
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin14.S6	0.0132852370864115	0.00900610792654603	0.0178769303421234	3.82242174589763e-31	0.002260120853307
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin14.S7	0.0115953876977281	0.00770070939955466	0.0159617803187596	2.11902627818126e-27	0.00209093748873663
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin15.S1	0.0264492525798423	0.020757288085122	0.0322170197811034	1.88741550351355e-60	0.00304405685547227
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin15.S10	0.0107386104864553	0.00697603969686269	0.0147601479572491	1.67292990105122e-25	0.00203417830095594
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin15.S2	0.0245549976570973	0.0193216264566821	0.0305483261584854	3.25043022226155e-56	0.00291491590539894
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin15.S3	0.0226801152818263	0.0172527197739713	0.0285507255215187	4.98740785504935e-52	0.0029076456984658
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin15.S4	0.0207686861378195	0.0155633700733899	0.0261699462685363	9.09232377746806e-48	0.00276027308719339
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin15.S5	0.0172366826620881	0.0128398834835179	0.0224631524246398	6.53410239771232e-40	0.00253569344831072
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin15.S6	0.0141089821489275	0.0100037363615902	0.0186338710327623	5.70602958657811e-33	0.00226085379578528
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin15.S7	0.0125980375838064	0.00870968634761037	0.0173802204667324	1.27383047457129e-29	0.00225207998275878
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin16.S1	0.026295403598171	0.020643936019573	0.0328251852326058	4.17041644221193e-60	0.00303095342389233
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin16.S10	0.0108156219075133	0.007082612225503	0.0153172993810589	1.12966880762134e-25	0.00208065375462171
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin16.S2	0.024901677204371	0.0194574097778452	0.0313371953005633	5.46002206388518e-57	0.00305556080501941
AFR	AFR	AFR	AFRinAFR_causIncl_caus100-rep1-h2_0.03-S1_-1-AFR_Bin1toBin16.S3	0.0232677168751834	0.0183013915836899	0.0290453403884118	2.43606611846354e-53	0.00274327693085508
